danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4h9wh7iOZ0GGn8QVp4RAOB,148486
0.571,0.544,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052,1xK59OXxi2TAAAbmZK0kBL,132631
0.911,0.573,-7.43,0.288,0.38,0.0,0.403,0.972,140.04,3LtpKP5abr2qqjunvjlX5i,97393
0.345,0.941,-9.918,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,7EkWXAI1wn8Ii883ecd9xr,147062
0.914,0.622,-6.538,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,53tfEupEzQRtVFOeZvk7xq,156788
0.908,0.621,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,7KXjTSCq5nL1LoYtL7XAwS,177000
0.737,0.846,-4.51,0.22,0.00614,0.0,0.0486,0.546,87.981,0e8nrvls4Qqv5Rfa2UhqmO,143901
0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,194088
0.768,0.852,-6.215,0.038,0.214,7.36e-05,0.0723,0.867,128.373,07q0QVgO56EorrSGHC48y3,271240
0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,2iuZJX9X9P0GKaE93xcPjk,235493
0.589,0.89,-3.719,0.0603,0.000481,0.00082,0.201,0.692,90.598,5W8YXBz9MTIDyrpYaCg2Ky,199907
0.814,0.789,-6.29,0.0405,0.365,0.000502,0.137,0.842,107.003,3BnDvpeuGOj21Ir2aVEtQo,219669
0.354,0.982,-3.026,0.168,0.000237,0.000294,0.204,0.194,143.772,61mWefnWQOLf90gepjOCb3,252613
0.812,0.89,-2.661,0.209,0.0961,0.0,0.0222,0.69,100.006,3O8G8eVrhfXTGttyQ1xVuq,191965
0.695,0.63,-7.16,0.035,0.229,0.0,0.118,0.55,130.968,3D29kjUyWxsT3jUUTtARVQ,240413
0.762,0.59,-7.039,0.165,0.34,0.0,0.0765,0.738,122.105,1xLCwgQcF6bKncTJmRGGws,226653
0.735,0.425,-6.648,0.0464,0.011,0.0,0.055,0.848,85.896,2cOUlop2ZakjOKe4WinesN,188174
0.568,0.844,-5.875,0.0505,0.000189,0.0,0.0607,0.766,116.046,1HNE2PX70ztbEl6MLxrpNL,207093
0.611,0.95,-3.509,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078,4eAwB5pnKFTmsgc3zWoYO0,193893
0.792,0.647,-8.314,0.045,0.255,0.000223,0.132,0.694,102.477,0aJrYfARfCKzv6gXjhs4SZ,209547
0.436,0.141,-13.271,0.0308,0.902,2.81e-06,0.126,0.146,76.64,6jGnykaS6TkWp15utXSAeI,198227
0.661,0.425,-11.185,0.0372,0.2,0.0,0.104,0.252,115.923,3PqAQRlPl0yOnqqcB6Y5Cw,217413
0.729,0.65,-3.539,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,14OxJlLdcHNpgsm4DRwDOB,209160
0.544,0.578,-9.49,0.18,0.216,1.92e-06,0.0949,0.219,169.973,5EWPzyWm0b9McPS5Qyaijp,165558
0.701,0.787,-3.941,0.0855,0.27,0.0,0.105,0.904,180.027,1Bhm5HNO1cq8olDbBmokyL,171720
0.518,0.447,-14.461,0.0338,0.23,0.0426,0.171,0.792,150.059,04OSnqlwlBJMvidYccraVz,198400
0.592,0.263,-14.029,0.0568,0.845,5.68e-06,0.127,0.109,76.366,3B3eOgLJSqPEA0RfboIQVM,238520
0.674,0.347,-17.707,0.0364,0.396,1.05e-05,0.0916,0.647,102.013,4KFM3A5QF2IMcc6nHsu3Wp,267267
0.63,0.908,-2.42,0.0326,0.0238,0.592,0.116,0.968,120.522,4fPBB44eDH71YohayI4eKV,189227
0.724,0.55,-8.615,0.263,0.0362,0.0,0.115,0.631,82.893,2q2tG7xR37PNyqrXqooemZ,180760
0.533,0.858,-4.212,0.0766,0.00021,0.0,0.148,0.506,160.057,6mADjHs6FXdroPzEGW6KVJ,205159
0.633,0.614,-3.664,0.0814,0.0595,0.0,0.0874,0.544,179.966,0df1oUN5ta7FSWwjGvhHa5,155381
0.693,0.678,-7.159,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,1kKYjjfNYxE0YYgLa7vgVY,228267
0.756,0.867,-3.626,0.162,0.155,0.00285,0.33,0.666,129.983,22WV03i2lBbwNVCE1g671p,156780
0.712,0.493,-7.778,0.075,0.591,0.0,0.135,0.549,132.827,6hfkqvPACVG4l4qtY7xDgG,164120
0.716,0.972,-2.302,0.196,0.0145,3.22e-05,0.317,0.576,110.026,6VRhkROS2SZHGlp0pxndbJ,215253
0.339,0.73,-8.568,0.0358,0.00737,0.0,0.0472,0.837,183.144,58U47mHjyLwUwJZ7voUt15,144375
0.246,0.768,-7.48,0.0387,0.000631,0.301,0.102,0.35,169.873,6KtLECDztnah63TNmV4Plw,212733
0.534,0.697,-5.636,0.272,0.0977,0.0,0.0823,0.423,72.351,15Cdh1RxOdlaFUm24ifnKH,146118
0.395,0.777,-5.848,0.0334,0.097,5.52e-06,0.197,0.12,75.575,2C0hJUVjp7FSchyhYiceJq,239080
0.693,0.875,-8.354,0.0315,0.00986,0.0,0.0601,0.899,120.048,5CeL9C3bsoe4yzYS1Qz8cw,259387
0.658,0.815,-2.141,0.14,0.214,1.24e-06,0.126,0.818,91.041,43pulC9QdGwabXUtVHYnjY,149053
0.755,0.713,-8.895,0.436,0.137,3.43e-06,0.283,0.723,167.043,30d0q6kt1BIfwAQUCAfxVQ,94903
0.684,0.749,-6.565,0.06,0.00135,0.111,0.141,0.935,160.021,0nys6GusuHnjSYLW0PYYb7,196905
0.563,0.44,-11.943,0.0822,0.286,0.683,0.269,0.213,120.009,2W3EgJst61RLZtPPm3EQim,276373
0.227,0.66,-5.993,0.0759,0.0274,0.000538,0.0787,0.27,167.956,0byPyCPX9mfGMiAGVZxasq,166093
0.71,0.712,-7.436,0.3,0.0297,0.00138,0.0975,0.596,162.106,7A2DyRIqqelhZ4caPJMaFI,147788
0.274,0.726,-11.541,0.0449,0.000212,0.0113,0.0993,0.426,146.449,4vJr55lngvhSM8WIh9CjQc,422933
0.866,0.628,-5.575,0.0536,0.644,2.48e-06,0.107,0.731,125.991,0X5zETsfr8nGAVABRcD4o4,145162
0.785,0.525,-7.556,0.042,0.669,0.439,0.114,0.251,90.853,3WRQUvzRvBDr4AxMWhXc5E,238907
