danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,175238
0.696,0.793,-5.733,0.097,0.0683,3.78e-06,0.18,0.698,120.003,6BePGk3eCan4FqaW2X8Qy3,172253
0.713,0.703,-5.769,0.194,0.298,0.0,0.321,0.576,123.06,5MxFWjuqQIsbNWbMdMdbli,255693
0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,7ef4DlsgrMEH11cDZd32M6,214847
0.671,0.636,-8.117,0.103,0.515,0.000411,0.172,0.262,120.966,3uUuGVFu1V7jTQL60S1r8z,148197
0.607,0.767,-6.069,0.0474,0.118,0.0,0.122,0.662,123.998,3rb0tMq42WfggucPm0HHkA,148629
0.847,0.69,-7.877,0.0493,0.0127,6e-05,0.0526,0.692,125.004,4zN21mbAuaD0WqtmaTZZeP,186662
0.845,0.797,-4.984,0.139,0.0582,5.57e-06,0.167,0.422,121.985,7fZBQnc0zXwVybgCIrQQil,151475
0.754,0.763,-4.627,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,18asYwWugKjjsihZ0YvRxO,164819
0.854,0.806,-8.262,0.0886,0.0209,0.0542,0.0703,0.637,124.927,20on25jryn53hWghthWWW3,157890
0.739,0.586,-5.079,0.0472,0.0245,0.000252,0.308,0.444,124.026,1bgKMxPQU7JIZEhNsM1vFs,142677
0.601,0.713,-3.758,0.0449,0.0282,0.0,0.158,0.464,122.872,1WCEAGGRD066z2Q89ObXTq,169756
0.687,0.818,-4.221,0.0778,0.0112,0.0,0.248,0.886,125.952,7MIhUdNJtaOnDmC5nBC1fb,165753
0.534,0.855,-4.923,0.183,0.0607,0.000263,0.346,0.42,122.06,0zKbDrEXKpnExhGQRe9dxt,153443
0.679,0.548,-7.495,0.0298,0.234,0.0,0.189,0.413,115.954,3K00Ib1shkOEiAXU5pec6e,155909
0.621,0.785,-4.499,0.11,0.0165,5.92e-06,0.0512,0.779,123.96,1RF02Cf80mTaeNXG2P2boR,155253
0.824,0.862,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,4cG7HUWYHBV6R6tHn1gxrl,169153
0.763,0.782,-4.541,0.0346,0.182,7.08e-06,0.293,0.502,127.034,3sa06xVNmLLYIxdNNmVQN8,177689
0.787,0.833,-4.403,0.0478,0.018,0.00747,0.0374,0.796,123.97,6Dy1jexKYriXAVG6evyUTJ,162604
0.77,0.787,-3.748,0.0583,0.198,0.0,0.262,0.513,119.986,0bI7K9Becu2dtXK1Q3cZNB,140500
0.612,0.862,-2.903,0.037,0.041,0.0,0.0907,0.354,123.849,4laAKIq9ZxBCwf99rauPYb,160766
0.685,0.886,-4.179,0.034,0.028,0.0,0.481,0.615,125.034,5902W4uHWzhtOff1UK7the,161267
0.662,0.848,-4.338,0.0346,0.0932,7.62e-06,0.241,0.773,123.041,5Hp4xFihdOE2dmDzxWcBFb,171778
0.67,0.727,-5.477,0.0689,0.277,0.0,0.52,0.412,110.151,5FHPvs8RxWBQXP2Rq9I2B2,150013
0.595,0.784,-4.878,0.102,0.216,0.0,0.0608,0.479,124.111,5K6Ssv4Z3zRvxt0P6EKUAP,183726
0.614,0.934,-3.709,0.07,0.0697,0.0,0.121,0.436,116.001,1KixkQVDUHggZMU9dUobgm,174760
0.665,0.738,-5.931,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,3nEHrvNNtgLv9rneTAYVr4,214071
0.768,0.767,-8.06,0.0358,0.194,0.0,0.121,0.457,125.029,07VcTAooOBP8hIluuUS5xr,132000
0.678,0.744,-4.058,0.234,0.495,2.35e-05,0.0631,0.433,101.987,0F3v8p8ZnEGtZDxNcJ5Klq,162353
0.748,0.841,-5.08,0.177,0.00445,1.33e-06,0.0413,0.717,123.045,3Z7CaxQkqbIs1rewKi6v4W,129817
0.698,0.781,-5.615,0.0401,0.143,0.0,0.0762,0.851,124.017,2tX3PY8eP3h9XaBcLXuRBa,166573
0.618,0.848,-4.329,0.0574,0.0028,0.000714,0.302,0.639,123.967,6PX5CRJFn24G3cypjNO6yw,150484
0.79,0.764,-4.685,0.0737,0.0836,0.0871,0.132,0.473,123.046,4Et6tUEO7biKxZEfJXpNj1,185366
0.588,0.835,-3.141,0.0595,0.0171,1.61e-06,0.113,0.215,113.997,06yG42F8p8l621YLki0rp2,166601
0.621,0.747,-5.084,0.0337,0.222,0.000194,0.147,0.426,124.015,3LEgGAl9zLcQWGTp7ptqtQ,188894
0.654,0.787,-4.999,0.0502,0.00515,0.0,0.144,0.409,123.979,2aXC0fD6qziwlOZZqhCqTd,164490
0.671,0.782,-4.593,0.0341,0.0142,0.00221,0.333,0.618,123.989,0siYMEsGrzzzlWLXK5zJfS,178088
0.539,0.715,-6.639,0.0595,0.0265,0.0,0.609,0.489,123.854,46nvQpUDsxpS08UTFOeKTA,165524
0.766,0.817,-4.253,0.035,0.0239,2.49e-06,0.159,0.43,125.033,4uDhts78RdwIDjEqPrYVKp,138819
0.63,0.91,-2.681,0.058,0.0231,1.91e-06,0.125,0.525,123.017,6Owc2SuzwO3LW1SAODYK3l,167142
0.673,0.729,-4.879,0.0496,0.083,0.0,0.1,0.675,122.023,2Xy1UIVfOlukyye6Fd0wrI,169672
0.539,0.708,-6.189,0.0976,0.0129,0.0,0.14,0.381,123.039,0JpEMzTHbt2zBIXrntrXzG,186141
0.695,0.781,-5.578,0.0452,0.0185,3.12e-05,0.295,0.456,124.04,4xMbBESczlHPUO8QeYi56p,148960
0.84,0.667,-7.126,0.0843,0.0439,1.34e-05,0.179,0.292,120.044,1p0jBDjxORjYNJyAphBRpE,145667
0.708,0.909,-5.999,0.0476,0.0324,0.527,0.08,0.351,127.997,5IFSvSEeCAvvBEQ85poqKB,164043
0.687,0.788,-5.142,0.0352,0.0121,0.0,0.358,0.669,123.02,7y3c1oJMY1CwwtOZ84Qovu,174795
0.686,0.892,-3.186,0.0498,0.0577,7.11e-06,0.0838,0.752,126.03,2LxdNADWier3MKTei8FbOY,157206
0.761,0.739,-3.591,0.0369,0.178,3.35e-06,0.23,0.656,118.997,79wbJeLkXOlJh4AzaWCWfL,213436
0.734,0.855,-4.578,0.135,0.0821,4.73e-06,0.0901,0.54,121.955,2pPO9YecZimmuVQfIzfV6U,139563
0.636,0.936,-2.65,0.0729,0.177,0.0,0.0879,0.415,124.034,4qtdkdTY1t3RmlmSbWykzR,171955
0.692,0.883,-4.698,0.0582,0.0512,0.0,0.228,0.614,122.984,1V7bZ9gEIwFQpm8yGxRHNA,184390
0.601,0.879,-2.673,0.0353,0.0313,0.0,0.0793,0.589,124.013,6oYXbji1rn7U6bFuNYekpQ,188732
0.642,0.76,-4.221,0.0976,0.0736,0.0,0.301,0.482,122.898,1E8i4Xq9tH2LVWC0b1Sptj,173659
0.609,0.801,-8.483,0.0694,0.0246,0.00255,0.37,0.202,122.958,4xbXuRfZ2ZLktw5QEdGYnX,190217
0.701,0.88,-4.56,0.0358,0.182,7.33e-06,0.0649,0.623,124.039,4q05KbxYZ5JdkmrletgPjF,181958
0.398,0.956,-4.429,0.329,0.00935,0.0038,0.142,0.269,106.581,1dt220OBbkTsYz1NLVKIaw,178310
0.737,0.866,-4.749,0.0415,0.0431,0.000143,0.099,0.868,126.019,3FN3jsZTdt5sU6NRcIgUKK,195263
0.923,0.531,-7.525,0.0481,0.64,0.0174,0.121,0.858,119.985,7KoUk2BFyV8HkocdHMUNTw,155098
0.797,0.88,-5.722,0.0442,0.00298,0.574,0.183,0.357,125.996,2FEUloDXMvRnyfLcsrCfkw,157619
0.869,0.838,-4.515,0.0663,0.0113,0.269,0.0583,0.717,122.018,013PVeWEFQio3XHFH9rIC6,121987
0.786,0.718,-6.292,0.04,0.00519,0.000977,0.127,0.525,123.951,102rhgJ5PEFt62e0PumSF2,166573
0.783,0.762,-4.727,0.0507,0.158,6.56e-05,0.092,0.33,127.993,1zOOl8f7qkjj0AmvlCfLyQ,189288
0.57,0.89,-2.049,0.0625,0.0407,0.0,0.677,0.563,125.003,1KkV5NgLa2XtD00IfaCPyG,184104
0.663,0.849,-4.462,0.0334,0.0791,1.2e-06,0.192,0.722,123.992,67lbzVADsqJJ6tyVk0XCgn,146880
0.56,0.851,-2.851,0.0486,0.225,2.9e-06,0.177,0.461,125.947,0iVkWge9ytV4Scgy2hQ2za,147140
0.713,0.697,-6.759,0.0361,0.0293,0.000154,0.457,0.638,125.055,5ANWAzmveemGd3Zqb5FXR1,143526
0.779,0.763,-5.58,0.34,0.035,1.65e-06,0.112,0.869,119.94,7ElC7VjUNl3oJ20Q5OpEh9,153167
0.679,0.764,-5.301,0.0391,0.031,9.05e-06,0.0951,0.471,124.977,2wVQcA1YCuGL6EW0QbgVoV,198015
0.723,0.807,-6.343,0.205,0.203,0.00138,0.352,0.275,100.935,52LrFr2jr8TVw5HSTqwkyW,145080
0.596,0.743,-4.149,0.0302,0.0696,2.37e-06,0.202,0.531,125.883,3wfNiPBrzDwuanE75Ar6pS,158807
0.721,0.919,-5.351,0.0878,0.0266,0.001,0.348,0.675,115.997,2oWpe2L8ypC080BxpDVuTY,194612
0.665,0.628,-6.297,0.026,0.00502,2.02e-05,0.0947,0.551,121.979,4edHoZerfvMGeLz3ohZit6,202406
0.706,0.914,-5.668,0.0615,0.19,0.0,0.0886,0.299,124.03,2ntTfXxuIi3jlePOKSz26N,178065
0.645,0.786,-5.337,0.0554,0.0343,3.57e-06,0.139,0.597,124.962,676tQQmFrilCR8L7kxRcGd,191329
0.716,0.853,-3.254,0.03,0.00812,0.000268,0.154,0.593,124.014,6p8uRRGziFLcA3QDvWxEPM,178294
0.717,0.627,-8.198,0.0966,0.00974,0.0,0.222,0.437,125.965,22sKunNSPMCy2lvSLOY5yX,170786
0.694,0.828,-4.653,0.0336,0.0399,0.0,0.0796,0.407,126.002,5WOnsi0Bug74LmhxcPfKvR,150476
0.753,0.539,-6.946,0.0393,0.0505,0.0,0.0664,0.443,124.015,1KR9TkyhxqqpOk45WAm7bM,136563
0.697,0.836,-5.005,0.0437,0.133,4.46e-06,0.0754,0.631,121.977,7dk9EBvTbbKBbFxjCAJpwK,190772
0.677,0.732,-5.028,0.031,0.0113,0.227,0.0978,0.242,126.018,587xXusqiMW9gSXkNK8Zxf,171548
0.693,0.874,-3.923,0.0693,0.034,8.33e-06,0.289,0.647,123.979,69P8aWFbgM3eD7UFSLPWsq,182903
0.639,0.965,-5.21,0.0435,0.00632,0.148,0.364,0.408,127.027,7nwEab6Y4LXbKUZDNofOag,172913
0.806,0.73,-5.73,0.149,0.228,0.000114,0.0817,0.629,124.914,5Ay8r4qxJ1OYLS91tWysRf,171265
0.741,0.774,-5.485,0.0329,0.00161,1.69e-06,0.245,0.543,120.962,0W98yebOu4MC2ULhurYbAZ,172134
0.747,0.749,-6.337,0.0558,0.0798,1.79e-06,0.318,0.914,121.964,2LAtELE0xGyMKcvNlxiyF3,138200
0.758,0.804,-3.996,0.0358,0.00308,0.0,0.125,0.614,125.007,6Lytqcs0fMmCO8JNewrnbj,157000
0.706,0.931,-3.053,0.0456,0.354,3.72e-06,0.146,0.465,123.012,5qiQbOa6AFEO3P111y9Jry,200893
0.786,0.951,-3.819,0.133,0.0475,6.04e-06,0.0655,0.675,133.002,3rJvr6YpIZTsx32nSDJ26Q,237236
0.715,0.778,-6.546,0.0365,0.0152,0.0,0.121,0.756,123.954,7iUB3byx9Rcks8zW10JVkP,166925
0.887,0.531,-5.389,0.121,0.0159,0.0,0.634,0.772,117.056,1R7WcoUBGKJY15HGQxb62G,148015
0.733,0.859,-5.03,0.033,0.479,0.0645,0.105,0.52,124.948,1D2Aldrksl9yWWCIPOeDzy,147840
0.595,0.887,-3.607,0.0387,0.00198,3.91e-05,0.0518,0.571,124.073,7gEbuXht8gYcA5OdN9zUpy,183992
0.704,0.822,-4.691,0.0367,0.00953,0.0011,0.156,0.534,122.032,0sPrs9vLFdRRTllqlwL4v1,173215
0.66,0.801,-5.018,0.0273,0.0407,1.58e-06,0.454,0.53,120.064,2akrIna6A1btLmjPBN8YKI,168197
0.879,0.655,-5.602,0.0401,0.106,0.00397,0.131,0.67,118.025,2rqTZrpsqlbzIz3wQ7s2Q1,175571
0.514,0.825,-4.452,0.0748,0.111,0.0,0.333,0.411,119.985,4F17nB9GKTSPfocx9D7jHx,173069
0.68,0.722,-5.214,0.0683,0.18,0.000137,0.339,0.2,120.012,1YGVpvE7hKdqNArudG04Ll,187990
0.686,0.83,-4.437,0.0369,0.0948,1.33e-06,0.182,0.486,123.032,1z1XegUChLLQfcbtIK8ABn,214634
0.809,0.873,-3.31,0.0915,0.312,1.09e-06,0.0696,0.598,115.016,7LnkcJhUZ0qs0HoyRm61xr,157501
0.675,0.899,-4.787,0.0391,0.0025,8.33e-05,0.298,0.344,123.034,7x74XLYJqptDCmY4y3FaVh,179512
